Transmiter,Date,Time (UT),Class,Ix[W/m2],Delta Amp [dB],Delta Phase [deg],Beta,Reflection height,Electron density
DHO,04 July 2012,09:06,C6.7,6.7E-6,1.7,17,0.399,69.5,1301496578.09486
DHO,04 July 2012,09:55,M5.3,5.3E-5,2.1,50,0.439,65.7,8262397637.10155
DHO,04 July 2012,11:17,C5.8,5.8E-6,1.7,16,0.405,69.9,1137138269.28901
DHO,04 July 2012,12:24,M2.3,2.3E-5,2,40,0.414,67.15,3683689443.98804
DHO,04 July 2012,14:40,M1.3,1.3E-5,2.3,20,0.438,68.7,2202107411.66006
DHO,05 July 2012,10:48,M1.8,1.8E-5,2.1,38,0.419,67.3,3579828220.81207
DHO,05 July 2012,11:44,M6.1,6.1E-5,2,65,0.497,63.2,46321898370.6847
DHO,05 July 2012,14:45,C8.3,8.3E-6,1.8,13,0.412,69.55,1351769961.39641
DHO,06 July 2012,08:28,M1.0,1E-5,2,33,0.412,67.9,2667695033.53421
DHO,06 July 2012,09:18,C3.8,3.8E-6,1.9,5,0.436,69.75,1378526005.32561
DHO,07 July 2012,08:28,M1.0,1E-5,3,30,0.501,66.8,7966257556.80135
DHO,07 July 2012,10:44,C6.4,6.4E-6,1.5,22,0.385,69.8,1088733197.51996
DHO,07 July 2012,11:03,M2.6,3E-6,1.5,45,0.375,67.5,2473204841.40682
DHO,07 July 2012,14:46,C3.0,3E-6,1,6,0.384,70.8,738462332.482209
DHO,08 July 2012,09:53,M1.1,1.1E-5,2,42,0.408,67.1,3608220867.04384
DHO,08 July 2012,10:30,C6.9,6.9E-6,1.5,13,0.318,69.9,795976844.207868
DHO,08 July 2012,12:10,M1.4,1.4E-5,2,35,0.408,67.8,2711805952.95512
DHO,09 July 2012,09:32,C6.5,6.5E-6,1,13,0.373,70.5,797331155.681612
DHO,10 July 2012,08:34,C4.5,4.5E-6,2.5,10,0.468,68.8,2463578126.82064
DHO,10 July 2012,09:04,C4.1,4.1E-6,2,12,0.426,69.4,1533595251.21296
DHO,10 July 2012,12:24,C5.5,5.45E-5,1.8,30,0.404,68.3,2161526783.57712
DHO,11 July 2012,08:31,C9.9,9.9E-6,3.26,27,0.525,66.9,8984625297.48543
DHO,14 July 2012,10:39,C3.2,3.2E-6,1.83,22,0.404,69.1,1564575930.34614
DHO,14 July 2012 ,14:16,C2.4,2.4E-6,1,7,0.382,70.75,747900610.310967
DHO,08 Nov 2012 ,11:17,M2.3,2.3E-5,3.57,40,0.429,66.4,5631719518.69759
DHO,28 Nov 2012,12:24,C4.8,4.8E-6,3,13,0.39,69.7,1156056698.56388
DHO,18 Jan 2013,09:43,C2.4,2.4E-6,2.58,23,0.354,69.7,990262535.38485
DHO,26 April 2013,12:57,C3.5,3.5E-6,2,25,0.326,70.6,654695403.880124
DHO,01 May 2013,14:16,C6.6,6.6E-6,3.43,30,0.408,67.8,2711805952.95512
DHO,04 May 2013 ,12:38,C5.6,5.6E-6,2.35,40,0.338,68.5,1386822024.52713
DHO,07 May 2013,08:23,C1.6 ,1.6E-6,1.1,16,0.302,72.3,361105476.825996
DHO,10 May 2013,09:50,C1.8,1.8E-6,1,16,0.301,72.35,355107334.766067
DHO,10 May 2013,12:56,M1.3,1.3E-5,3.03,50,0.399,65.9,5473481120.20977
DHO,13 May 2013,08:38,C4.5,4.5E-6,2.7,36,0.359,68.4,1613514656.67802
DHO,13 May 2013,12:03,M1.3 ,1.3E-5,1.96,60,0.342,66,3333473376.01525
DHO,20 May 2013,15:06,C9.6,9.6E-6,3.55,27,0.417,67.8,2867426152.00574
DHO,23 May 2013,14:50,C3.9,3.9E-6,2.75,29,0.362,68.9,1369183827.89117
DHO,05 June 2013,08:57,M1.3,1.3E-5,3.8,50,0.494,64.4,24789367124.3589
DHO,19 June 2013,09:54,C8.4,8.4E-6,2.58,23,0.355,69.7,994529832.400397
DHO,20 June 2013,09:20,C1.0,1E-6,1.1,15,0.304,72.3,362335325.004354
DHO,05 July 2013,09:07,C1.2,1.2E-6,0.9,10,0.305,72.7,321266210.369378
DHO,05 July 2013,11:26,C2.8,2.8E-6,0.7,0,0.319,72.85,311880498.00687
DHO,05 July 2013,13:01,C8.5,8.5E-6,2.95,25,0.376,68.9,1470518142.01757
DHO,07 July 2013,12:13,C1.7,1.7E-6,1,17,0.3,72.3,359879803.030971
DHO,20 Sep 2013,11:53,C3.8,3.8E-6,2,35,0.323,69.4,954865120.311463
DHO,05 Nov 2013,11:58,C8.3,8.3E-6,5.26,30,0.57,61,357099629204.549
DHO,07 Nov 2013,12:29,C5.9,5.9E-6,5,30,0.58,65.6,28219544810.0857
DHO,15 Nov 2013,11:35,C7.5,7.5E-6,4,15,0.46,68.2,3114332414.93304
DHO,17 Nov 2013,10:47,C2.8,2.8E-6,1,6,0.317,72.6,336827218.871713
