Height(km),Electron Density(m^-3)
50,25417139.4082801
55,129413587.39280087
60,658733662.7745416
65,3354000033.862235
70,17070749377.460752
74,62763050547.075905
80,442421040506.92523
85,2252625406437.542
90,11466185388537.75
