Height(km),Time(Ix) (H:M:S),Solar Flux Ix (W*m^-2),Time(ED) (H:M:S),Electron Density(m^-3),Electron Density(m^-3) easyfit,Beta(km^-1),H'(km)
74,08:48:00,1.11e-06,08:50:05,358417386.3240683,402605633.6611585,0.31682887708250274,72.40315030529516
74,08:49:00,1.11e-06,08:51:05,358417386.3240683,402605633.6611585,0.31682887708250274,72.40315030529516
74,08:50:00,1.12e-06,08:52:05,359172070.8013447,404626416.0386026,0.3168758900060868,72.396749325828
74,08:51:00,1.13e-06,08:53:05,359928560.9696483,406647932.67218816,0.31692290292967085,72.39034834636082
74,08:52:00,1.13e-06,08:54:05,359928560.9696483,406647932.67218816,0.31692290292967085,72.39034834636082
74,08:53:00,1.14e-06,08:55:05,360686861.5436888,408670183.47058755,0.31696991585325496,72.38394736689366
74,08:54:00,1.14e-06,08:56:05,360686861.5436888,408670183.47058755,0.31696991585325496,72.38394736689366
74,08:55:00,1.13e-06,08:57:05,359928560.9696483,406647932.67218816,0.31692290292967085,72.39034834636082
74,08:56:00,1.14e-06,08:58:05,360686861.5436888,408670183.47058755,0.31696991585325496,72.38394736689366
74,08:57:00,1.16e-06,08:59:05,362208912.83390146,412716888.4638976,0.31706394170042307,72.37114540795935
74,08:58:00,1.22e-06,09:00:05,367136898.5012975,424874686.1922065,0.31748260479267754,72.33072837469257
74,08:59:00,1.26e-06,09:01:05,370605597.8283193,432994728.96298534,0.3178208875978279,72.30291732127729
74,09:00:00,1.29e-06,09:02:05,373299047.1915188,439092640.6252714,0.3181022744055405,72.28165410223751
74,09:01:00,1.31e-06,09:03:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,09:02:00,1.31e-06,09:04:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,09:03:00,1.31e-06,09:05:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,09:04:00,1.31e-06,09:06:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,09:05:00,1.31e-06,09:07:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,09:06:00,1.32e-06,09:08:05,376071239.7456899,445197376.319695,0.3184065007404106,72.26005908694215
74,09:07:00,1.33e-06,09:09:05,377032990.72951937,447233816.64542997,0.3185212325762091,72.25266720069462
74,09:08:00,1.34e-06,09:10:05,377997842.40833896,449271025.68889624,0.3186359644120077,72.24527531444707
74,09:09:00,1.36e-06,09:11:05,379936892.7441881,453347761.1367524,0.3188654280836048,72.23049154195199
74,09:10:00,1.38e-06,09:12:05,381888480.98644924,457427605.5590004,0.3190948917552019,72.21570776945691
74,09:11:00,1.4e-06,09:13:05,383939328.8771447,461510582.52099615,0.3193596105829498,72.20041599465317
74,09:12:00,1.42e-06,09:14:05,386013053.00422573,465596716.1287342,0.31962785492631285,72.18507341961856
74,09:13:00,1.46e-06,09:15:05,390228258.0696779,473778551.7362378,0.32017411275903046,72.15424880951502
74,09:14:00,1.52e-06,09:16:05,396901034.2211136,486075602.06366605,0.32108630639502755,72.10668702403365
74,09:15:00,1.63e-06,09:17:05,410099457.56897074,508697988.29109716,0.3229735125861911,72.01646392189473
74,09:16:00,1.73e-06,09:18:05,423160264.86414224,529354101.9783635,0.32488945127869107,71.93166295131132
74,09:17:00,1.83e-06,09:19:05,437295298.3895475,550099312.6193695,0.3269846430045241,71.84442900681405
74,09:18:00,1.96e-06,09:20:05,457316440.9519593,577205857.0338113,0.32993591076168194,71.72802698172224
74,09:19:00,2.16e-06,09:21:05,491932967.5283035,619224141.0239083,0.33489247038273945,71.54377168833109
74,09:20:00,2.64e-06,09:22:05,595131113.3222586,721719652.1657231,0.3480181951836119,71.08919918962724
74,09:21:00,3.36e-06,09:23:05,808468635.0819056,880118311.4790082,0.36832983836918887,70.41796115428939
74,09:22:00,3.83e-06,09:24:05,986722087.6529413,986667914.8823674,0.3805972907405985,70.00990766695723
74,09:23:00,4.08e-06,09:25:05,1093227403.7248445,1044379838.3382363,0.3865735429739456,69.80643979544575
74,09:24:00,4.23e-06,09:26:05,1160562901.904531,1079355431.0480838,0.3899464564165469,69.68943298811116
74,09:25:00,4.37e-06,09:27:05,1225546405.7772806,1112236001.9875104,0.39294718833942055,69.58370176621942
74,09:26:00,4.5e-06,09:28:05,1287498641.3205545,1142973080.4033806,0.3956000771835043,69.4886599246179
74,09:27:00,4.62e-06,09:29:05,1345880686.6773677,1171521417.9520473,0.3979325914326244,69.40365929421331
74,09:28:00,4.73e-06,09:30:05,1400441389.8498116,1197839079.000339,0.3999811128078201,69.32784776753834
74,09:29:00,4.85e-06,09:31:05,1460648480.4780397,1226711290.5015304,0.40210250616454474,69.24781453416423
74,09:30:00,5.05e-06,09:32:05,1562634996.5868893,1275207837.2618659,0.4054023097099971,69.12001132435786
74,09:31:00,5.18e-06,09:33:05,1629689215.782527,1306983016.4565458,0.4073900360599696,69.04068745822184
74,09:32:00,5.09e-06,09:34:05,1583315267.2471395,1284963623.3417034,0.40603121332528447,69.0951896367874
74,09:33:00,4.9e-06,09:35:05,1485980579.6332858,1238791322.9441059,0.4029553491000987,69.21520172053656
74,09:34:00,4.67e-06,09:36:05,1370573614.7257962,1183466388.9429166,0.3988748828774839,69.3689374484618
74,09:35:00,4.42e-06,09:37:05,1249169501.210767,1124034556.6834784,0.39398101035405525,69.54683076311899
74,09:36:00,4.18e-06,09:38:05,1137809589.9122627,1067667787.1571238,0.38883783368464947,69.72806439697621
74,09:37:00,3.95e-06,09:39:05,1036885860.8776371,1014279247.9020011,0.3835178811653177,69.91099367904168
74,09:38:00,3.75e-06,09:40:05,954287553.0511836,968352785.4618332,0.37859806990572575,70.07711959687683
74,09:39:00,3.59e-06,09:41:05,891954429.4700674,931943502.8763419,0.3744842382605257,70.21440690109753
74,09:40:00,3.44e-06,09:42:05,836671409.268395,898076112.865062,0.37049945210786717,70.34638780446646
74,09:41:00,3.31e-06,09:43:05,791283429.0147318,868931546.5132346,0.36695841687152253,70.46312479555395
74,09:42:00,3.19e-06,09:44:05,751518703.7793522,842198489.0133891,0.36363155245378465,70.57255814618327
74,09:43:00,3.09e-06,09:45:05,719916045.29748,820044504.0670745,0.36082194666512973,70.66493538613788
74,09:44:00,3e-06,09:46:05,692698645.8745466,800201323.064505,0.3582739501144071,70.74878691411053
74,09:45:00,2.93e-06,09:47:05,672314982.6644516,784829839.5250429,0.3562824075395568,70.81444596853079
74,09:46:00,2.87e-06,09:48:05,655389767.5122359,771697284.3536283,0.3545714135621829,70.87098286581468
74,09:47:00,2.79e-06,09:49:05,633605344.686999,754248591.1016439,0.3522881572824305,70.946658130776
74,09:48:00,2.72e-06,09:50:05,615268412.9321316,739038159.137407,0.3502922545092828,71.01309832665213
74,09:49:00,2.66e-06,09:51:05,600084563.5665988,726042824.2704612,0.34858592475128464,71.07016142415571
74,09:50:00,2.62e-06,09:52:05,590231310.4229963,717400767.2152522,0.3474504656159391,71.10823695509877
74,09:51:00,2.59e-06,09:53:05,582984854.9850284,710930456.5713543,0.34660368059734054,71.13681311362474
74,09:52:00,2.56e-06,09:54:05,575855490.6737305,704469735.6204013,0.3457572058582846,71.16539053088094
74,09:53:00,2.53e-06,09:55:05,568847899.1085851,698018569.1235446,0.34491439608094315,71.19396174378299
74,09:54:00,2.5e-06,09:56:05,561959159.0064195,691576920.7336874,0.344075035679333,71.22252711729291
74,09:55:00,2.49e-06,09:57:05,559687464.9492594,689431813.2926394,0.34379524887879626,71.23204890846289
74,09:56:00,2.49e-06,09:58:05,559687464.9492594,689431813.2926394,0.34379524887879626,71.23204890846289
74,09:57:00,2.48e-06,09:59:05,557427924.1586244,687287757.8460797,0.34351546207825956,71.24157069963285
74,09:58:00,2.46e-06,10:00:05,552954699.9201785,683002797.19417,0.34295980313711755,71.26059445631446
74,09:59:00,2.44e-06,10:01:05,548534434.6154295,678722027.1445575,0.34240638114450783,71.27960688404846
74,10:00:00,2.43e-06,10:02:05,546341881.7542361,676583209.8942955,0.34212967014820295,71.28911309791545
74,10:01:00,2.41e-06,10:03:05,541991586.7320687,672308703.406158,0.34157624815559323,71.30812552564944
74,10:02:00,2.38e-06,10:04:05,535573180.17452073,665904740.6263913,0.3407537571393998,71.33658859525038
74,10:03:00,2.36e-06,10:05:05,531357274.29322165,661640611.7535566,0.34020797711951134,71.35554545098431
74,10:04:00,2.42e-06,10:06:05,544160955.5644166,674445435.8224415,0.34185295915189806,71.29861931178245
74,10:05:00,2.59e-06,10:07:05,582984854.9850284,710930456.5713543,0.34660368059734054,71.13681311362474
74,10:06:00,2.73e-06,10:08:05,617846948.9612991,741207825.6861523,0.3505771990307685,71.00359669979203
74,10:07:00,2.95e-06,10:09:05,678066663.6539097,789216166.920539,0.35685197664791224,70.79565874178049
74,10:08:00,3.15e-06,10:10:05,738702768.2557973,833323459.750351,0.36251062040861265,70.60940820056058
74,10:09:00,3.38e-06,10:11:05,815425584.2847708,884600948.7819169,0.36887407758687013,70.40001791475555
74,10:10:00,3.64e-06,10:12:05,911100542.1853161,943289822.9833367,0.37578864975135307,70.17103081338337
74,10:11:00,3.85e-06,10:13:05,994994977.7809228,991258239.1014588,0.3810934610302051,69.99319392589018
74,10:12:00,4.04e-06,10:14:05,1075648547.7151608,1035097221.7325664,0.3856436856573846,69.83836317484733
74,10:13:00,4.24e-06,10:15:05,1165115566.4320247,1081696457.094357,0.39016410072770336,69.68180296095531
74,10:14:00,4.5e-06,10:16:05,1287498641.3205545,1142973080.4033806,0.3956000771835043,69.4886599246179
74,10:15:00,4.78e-06,10:17:05,1425393469.8703144,1209848608.7769136,0.4008765269319243,69.29422914081894
74,10:16:00,4.99e-06,10:18:05,1531872025.5043643,1260609466.3982077,0.40444373914152043,69.15760654010312
74,10:17:00,5.06e-06,10:19:05,1567775013.5287983,1277645018.1355767,0.4055595356138189,69.11380590246524
74,10:18:00,5.05e-06,10:20:05,1562634996.5868893,1275207837.2618659,0.4054023097099971,69.12001132435786
74,10:19:00,4.94e-06,10:21:05,1506406579.9299111,1248476513.543609,0.4036276430169254,69.18934769786058
74,10:20:00,4.74e-06,10:22:05,1405389846.14587,1200238636.2052202,0.400160195632641,69.32112404219446
74,10:21:00,4.48e-06,10:23:05,1277824575.901756,1138231426.2132852,0.3951975635871828,69.50314974211364
74,10:22:00,4.23e-06,10:24:05,1160562901.904531,1079355431.0480838,0.3899464564165469,69.68943298811116
74,10:23:00,3.99e-06,10:25:05,1054023705.4177766,1023520080.0178555,0.38447163882689894,69.87849931047737
74,10:24:00,3.78e-06,10:26:05,966399021.1138932,975212308.8545523,0.379356034177928,70.05171241766207
74,10:25:00,3.55e-06,10:27:05,876922480.6987362,922887066.1196467,0.3734341595610201,70.2492759006508
74,10:26:00,3.3e-06,10:28:05,787892475.1250001,866697587.9398278,0.3666832444937564,70.47218259395495
74,10:27:00,3.05e-06,10:29:05,707689872.5786403,811214189.9402483,0.3596925122982128,70.70208350505064
74,10:28:00,2.82e-06,10:30:05,641672849.0000916,760783657.4177787,0.3531444600555317,70.91823426194644
74,10:29:00,2.63e-06,10:31:05,592674546.9526803,719559674.4078835,0.34773433039977547,71.09871807236301
74,10:30:00,2.47e-06,10:32:05,555182553.3141413,685144752.962144,0.34323651413342243,71.25108824244747
74,10:31:00,2.32e-06,10:33:05,523067045.32674617,653124727.0153611,0.3391197686422169,71.39342959008489
74,10:32:00,2.2e-06,10:34:05,499421115.7805795,627675075.209239,0.33593005919336005,71.506386996052
74,10:33:00,2.1e-06,10:35:05,481050308.3383734,606577582.1594464,0.3333598923367741,71.59958597617369
74,10:34:00,2.02e-06,10:36:05,467218827.47140294,589770514.1596165,0.331379023483135,71.67327567721776
74,10:35:00,1.96e-06,10:37:05,457316440.9519593,577205857.0338113,0.32993591076168194,71.72802698172224
74,10:36:00,1.89e-06,10:38:05,446291776.1529026,562590377.1640451,0.32831391323796183,71.79112970766703
74,10:37:00,1.83e-06,10:39:05,437295298.3895475,550099312.6193695,0.3269846430045241,71.84442900681405
74,10:38:00,1.77e-06,10:40:05,428692328.90189713,537641333.4300665,0.3257104346896981,71.89699895551239
74,10:39:00,1.73e-06,10:41:05,423160264.86414224,529354101.9783635,0.32488945127869107,71.93166295131132
74,10:40:00,1.69e-06,10:42:05,417806292.7860549,521081128.21994644,0.3240994145738302,71.96590865070081
74,10:41:00,1.65e-06,10:43:05,412626055.2541451,512822224.17728174,0.32334084226772053,71.99972175546779
74,10:42:00,1.63e-06,10:44:05,410099457.56897074,508697988.29109716,0.3229735125861911,72.01646392189473
74,10:43:00,1.6e-06,10:45:05,406347910.4798719,502518085.93155944,0.32242251806389705,72.04157717153514
74,10:44:00,1.58e-06,10:46:05,403950865.0622501,498402415.9260299,0.3220854663094912,72.05789698812285
74,10:45:00,1.57e-06,10:47:05,402759311.70726055,496345851.0423041,0.32191694043228825,72.06605689641671
74,10:46:00,1.58e-06,10:48:05,403950865.0622501,498402415.9260299,0.3220854663094912,72.05789698812285
74,10:47:00,1.59e-06,10:49:05,405147057.87709206,500459826.51302344,0.3222539921866941,72.049737079829
74,10:48:00,1.57e-06,10:50:05,402759311.70726055,496345851.0423041,0.32191694043228825,72.06605689641671
74,10:49:00,1.55e-06,10:51:05,400390042.5550852,492235245.82386726,0.3215798886778824,72.08237671300442
74,10:50:00,1.54e-06,10:52:05,399212286.59076154,490181199.1882637,0.32141136280067945,72.09053662129828
74,10:51:00,1.53e-06,10:53:05,398039089.7510083,488127985.6566192,0.3212428369234765,72.09869652959213
74,10:52:00,1.51e-06,10:54:05,395778648.4219241,484024045.2407387,0.3209342741223614,72.11461398828055
74,10:53:00,1.5e-06,10:55:05,394660387.839714,481973312.01727563,0.3207822418496952,72.12254095252744
74,10:54:00,1.49e-06,10:56:05,393546235.435708,479923399.22248673,0.32063020957702904,72.13046791677434
74,10:55:00,1.47e-06,10:57:05,391330187.39576334,475826022.2451926,0.32032614503169665,72.14632184526812
74,10:56:00,1.45e-06,10:58:05,389150664.96947527,471731889.00715524,0.32003022144135734,72.16205955706664
74,10:57:00,1.43e-06,10:59:05,387055306.2106058,467640974.32731545,0.3197619770979943,72.17740213210125
74,10:58:00,1.41e-06,11:00:05,384974398.5437825,463553253.21962315,0.31949373275463133,72.19274470713586
74,10:59:00,1.41e-06,11:01:05,384974398.5437825,463553253.21962315,0.31949373275463133,72.19274470713586
74,11:00:00,1.4e-06,11:02:05,383939328.8771447,461510582.52099615,0.3193596105829498,72.20041599465317
74,11:01:00,1.39e-06,11:03:05,382907830.111816,459468700.9771701,0.31922548841126835,72.20808728217047
74,11:02:00,1.36e-06,11:04:05,379936892.7441881,453347761.1367524,0.3188654280836048,72.23049154195199
74,11:03:00,1.34e-06,11:05:05,377997842.40833896,449271025.68889624,0.3186359644120077,72.24527531444707
74,11:04:00,1.32e-06,11:06:05,376071239.7456899,445197376.319695,0.3184065007404106,72.26005908694215
74,11:05:00,1.3e-06,11:07:05,374202201.7559155,441126790.94866675,0.31819607000811134,72.2745663625576
74,11:06:00,1.29e-06,11:08:05,373299047.1915188,439092640.6252714,0.3181022744055405,72.28165410223751
74,11:07:00,1.29e-06,11:09:05,373299047.1915188,439092640.6252714,0.3181022744055405,72.28165410223751
74,11:08:00,1.28e-06,11:10:05,372398567.57294345,437059248.47497225,0.3180084788029696,72.28874184191744
74,11:09:00,1.28e-06,11:11:05,372398567.57294345,437059248.47497225,0.3180084788029696,72.28874184191744
74,11:10:00,1.27e-06,11:12:05,371500754.0559697,435026612.0436738,0.3179146832003988,72.29582958159736
74,11:11:00,1.27e-06,11:13:05,371500754.0559697,435026612.0436738,0.3179146832003988,72.29582958159736
74,11:12:00,1.28e-06,11:14:05,372398567.57294345,437059248.47497225,0.3180084788029696,72.28874184191744
74,11:13:00,1.27e-06,11:15:05,371500754.0559697,435026612.0436738,0.3179146832003988,72.29582958159736
74,11:14:00,1.26e-06,11:16:05,370605597.8283193,432994728.96298534,0.3178208875978279,72.30291732127729
74,11:15:00,1.27e-06,11:17:05,371500754.0559697,435026612.0436738,0.3179146832003988,72.29582958159736
74,11:16:00,1.26e-06,11:18:05,370605597.8283193,432994728.96298534,0.3178208875978279,72.30291732127729
74,11:17:00,1.23e-06,11:19:05,367969366.7726667,426903577.57991415,0.31755385063655595,72.32397057714311
74,11:18:00,1.22e-06,11:20:05,367136898.5012975,424874686.1922065,0.31748260479267754,72.33072837469257
74,11:19:00,1.22e-06,11:21:05,367136898.5012975,424874686.1922065,0.31748260479267754,72.33072837469257
74,11:20:00,1.21e-06,11:22:05,366306666.2756763,422846537.86571604,0.31741135894879907,72.33748617224202
74,11:21:00,1.2e-06,11:23:05,365478663.442173,420819130.9134294,0.31734011310492066,72.34424396979148
74,11:22:00,1.23e-06,11:24:05,367969366.7726667,426903577.57991415,0.31755385063655595,72.32397057714311
74,11:23:00,1.26e-06,11:25:05,370605597.8283193,432994728.96298534,0.3178208875978279,72.30291732127729
74,11:24:00,1.28e-06,11:26:05,372398567.57294345,437059248.47497225,0.3180084788029696,72.28874184191744
74,11:25:00,1.31e-06,11:27:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,11:26:00,1.33e-06,11:28:05,377032990.72951937,447233816.64542997,0.3185212325762091,72.25266720069462
74,11:27:00,1.33e-06,11:29:05,377032990.72951937,447233816.64542997,0.3185212325762091,72.25266720069462
74,11:28:00,1.32e-06,11:30:05,376071239.7456899,445197376.319695,0.3184065007404106,72.26005908694215
74,11:29:00,1.32e-06,11:31:05,376071239.7456899,445197376.319695,0.3184065007404106,72.26005908694215
74,11:30:00,1.31e-06,11:32:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,11:31:00,1.31e-06,11:33:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,11:32:00,1.31e-06,11:34:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,11:33:00,1.31e-06,11:35:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,11:34:00,1.31e-06,11:36:05,375112578.2890414,443161701.9782396,0.318291768904612,72.2674509731897
74,11:35:00,1.32e-06,11:37:05,376071239.7456899,445197376.319695,0.3184065007404106,72.26005908694215
74,11:36:00,1.33e-06,11:38:05,377032990.72951937,447233816.64542997,0.3185212325762091,72.25266720069462
74,11:37:00,1.38e-06,11:39:05,381888480.98644924,457427605.5590004,0.3190948917552019,72.21570776945691
74,11:38:00,1.49e-06,11:40:05,393546235.435708,479923399.22248673,0.32063020957702904,72.13046791677434
74,11:39:00,3.14e-06,11:41:05,735542574.7947253,831107504.4667329,0.3622303873973196,70.61862071415491
74,11:40:00,9.26e-05,11:42:05,15157088148.63384,65959557364.1584,0.45339707651776656,64.62531787030038
74,11:41:00,0.000213,11:43:05,711000804525.4634,310631320209.9142,0.5253510978759468,58.58429271807155
74,11:42:00,0.000222,11:44:05,981666199313.1849,337128240877.40594,0.5307297207349471,58.1327210704797
74,11:43:00,0.000162,11:45:05,125272178757.6753,182886706644.196,0.4948722350082791,61.14319872109207
74,11:44:00,9.41e-05,11:46:05,15816648884.917732,67840970750.44755,0.45429351366093323,64.55005592903508
74,11:45:00,5.69e-05,11:47:05,5723231125.152539,29068711147.963154,0.4320618725103991,66.41655207241475
74,11:46:00,3.59e-05,11:48:05,4058630899.51821,14203773411.651081,0.42808699052759946,67.14898385486272
74,11:47:00,2.41e-05,11:49:05,3537037993.599883,8003661976.046744,0.4282114586647663,67.47220916415385
74,11:48:00,1.68e-05,11:50:05,3248362855.7118444,4940304470.613752,0.42828846013945426,67.67217058430853
74,11:49:00,1.22e-05,11:51:05,3078635214.264801,3316630139.784231,0.42833698161665484,67.79817367098134
74,11:50:00,9.24e-06,11:52:05,2974118888.8654776,2399369654.5829253,0.4283682041324188,67.87925391805776
74,11:51:00,7.19e-06,11:53:05,2606361077.6489153,1823618466.323863,0.4252726939668469,68.14507386800551
74,11:52:00,5.78e-06,11:54:05,1939985372.1283858,1456218147.9385717,0.41502913746390174,68.71202038953304
74,11:53:00,4.88e-06,11:55:05,1475890916.9525356,1233955783.0524776,0.4026192021416854,69.22812873187453
74,11:54:00,4.28e-06,11:56:05,1183544826.74844,1091072226.116786,0.39103467797232916,69.65128285233189
74,11:55:00,3.89e-06,11:57:05,1011573041.946994,1000452757.2047666,0.3820689783741114,69.96017510541311
74,11:56:00,3.64e-06,11:58:05,911100542.1853161,943289822.9833367,0.37578864975135307,70.17103081338337
74,11:57:00,3.43e-06,11:59:05,833106755.0456607,895827410.2059982,0.3702306981012146,70.35526793709019
74,11:58:00,3.26e-06,12:00:05,774473632.923002,857773048.0972563,0.36557910131376375,70.50851617211819
74,11:59:00,3.14e-06,12:01:05,735542574.7947253,831107504.4667329,0.3622303873973196,70.61862071415491
74,12:00:00,3.06e-06,12:02:05,710727723.1957018,813420097.695775,0.3599753915995697,70.69277583990561
74,12:01:00,2.99e-06,12:03:05,689749692.7778661,798002078.3441954,0.35799023767764593,70.75812759592249
74,12:02:00,2.93e-06,12:04:05,672314982.6644516,784829839.5250429,0.3562824075395568,70.81444596853079
74,12:03:00,2.87e-06,12:05:05,655389767.5122359,771697284.3536283,0.3545714135621829,70.87098286581468
74,12:04:00,2.82e-06,12:06:05,641672849.0000916,760783657.4177787,0.3531444600555317,70.91823426194644
74,12:05:00,2.76e-06,12:07:05,625667904.0489141,747723323.4062445,0.3514320325952256,70.97509181921171
74,12:06:00,2.71e-06,12:08:05,612703955.9270161,736869573.7483633,0.3500073099877971,71.02259995351224
74,12:07:00,2.67e-06,12:09:05,602581612.8317181,728206021.032634,0.34886978953512104,71.06064254141995
74,12:08:00,2.62e-06,12:10:05,590231310.4229963,717400767.2152522,0.3474504656159391,71.10823695509877
74,12:09:00,2.56e-06,12:11:05,575855490.6737305,704469735.6204013,0.3457572058582846,71.16539053088094
74,12:10:00,2.52e-06,12:12:05,566539301.756782,695870297.2536255,0.3446346092804064,71.20348353495297
74,12:11:00,2.49e-06,12:13:05,559687464.9492594,689431813.2926394,0.34379524887879626,71.23204890846289
74,12:12:00,2.46e-06,12:14:05,552954699.9201785,683002797.19417,0.34295980313711755,71.26059445631446
74,12:13:00,2.42e-06,12:15:05,544160955.5644166,674445435.8224415,0.34185295915189806,71.29861931178245
74,12:14:00,2.38e-06,12:16:05,535573180.17452073,665904740.6263913,0.3407537571393998,71.33658859525038
74,12:15:00,2.35e-06,12:17:05,529265889.641081,659510096.4029515,0.33993508710956705,71.36502387885128
