Height(km),Time(Ix) (H:M:S),Solar Flux Ix (W*m^-2),Time(ED) (H:M:S),Electron Density(m^-3),Electron Density(m^-3) easyfit,Beta(km^-1),H'(km)
74,08:00:00,9.28e-07,08:02:05,346543956.7908673,365958008.80196214,0.3166993361769451,72.50887096739824
74,08:01:00,9.31e-07,08:03:05,346708157.133614,366560009.92967093,0.31668838251793546,72.50732356723535
74,08:02:00,9.36e-07,08:04:05,346981971.1438365,367563508.42925245,0.31667012641958603,72.50474456696386
74,08:03:00,9.37e-07,08:05:05,347036755.9684445,367764232.5275348,0.31666647519991614,72.50422876690958
74,08:04:00,9.46e-07,08:06:05,347533661.65108407,369571113.11781174,0.31663523536569427,72.49956233520481
74,08:05:00,9.45e-07,08:07:05,347475298.96149194,369370316.3955339,0.31663726544255705,72.5001023664752
74,08:06:00,9.46e-07,08:08:05,347533661.65108407,369571113.11781174,0.31663523536569427,72.49956233520481
74,08:07:00,9.44e-07,08:09:05,347420455.37520796,369169527.7039653,0.31664091666222693,72.5006181665295
74,08:08:00,9.43e-07,08:10:05,347365619.1367485,368968747.05254924,0.3166445678818968,72.5011339665838
74,08:09:00,9.49e-07,08:11:05,347717590.2094071,370173551.3757878,0.3166331979921239,72.49788166335338
74,08:10:00,9.45e-07,08:12:05,347475298.96149194,369370316.3955339,0.31663726544255705,72.5001023664752
74,08:11:00,9.42e-07,08:13:05,347310790.2453627,368767974.45081854,0.3166482191015667,72.5016497666381
74,08:12:00,9.42e-07,08:14:05,347310790.2453627,368767974.45081854,0.3166482191015667,72.5016497666381
74,08:13:00,9.45e-07,08:15:05,347475298.96149194,369370316.3955339,0.31663726544255705,72.5001023664752
74,08:14:00,9.53e-07,08:16:05,347962976.01055473,370976914.25885034,0.31663048149403017,72.49564076755146
74,08:15:00,9.57e-07,08:17:05,348208530.7421554,371780404.4766526,0.31662776499593637,72.49339987174956
74,08:16:00,9.76e-07,08:18:05,349377226.1551351,375598705.7336945,0.31661486162999086,72.48275561669048
74,08:17:00,9.89e-07,08:19:05,350179063.6946441,378212848.98050827,0.316606033011186,72.47547270533428
74,08:18:00,9.98e-07,08:20:05,350735233.33589745,380023403.1807153,0.316599920890475,72.47043068977997
74,08:19:00,1.04e-06,08:21:05,353476478.65043867,388480786.77890223,0.31663208798721754,72.4459981534108
74,08:20:00,1.41e-06,08:22:05,384974398.5437825,463553253.21962315,0.31949373275463133,72.19274470713586
74,08:21:00,2.42e-06,08:23:05,544160955.5644166,674445435.8224415,0.34185295915189806,71.29861931178245
74,08:22:00,3.12e-06,08:24:05,729257528.6368518,826678951.3135645,0.36166850173068976,70.63709493237018
74,08:23:00,3.66e-06,08:25:05,918808103.7835813,947836380.9738774,0.3763027065306969,70.15387513724257
74,08:24:00,3.93e-06,08:26:05,1028445622.7055149,1009665785.793618,0.3830410023345271,69.92724086332385
74,08:25:00,3.97e-06,08:27:05,1045411565.7625259,1018897345.1770153,0.3839947599961083,69.89474649475953
74,08:26:00,3.84e-06,08:28:05,990847844.4196788,988962499.3711255,0.3808453758854018,70.0015507964237
74,08:27:00,3.66e-06,08:29:05,918808103.7835813,947836380.9738774,0.3763027065306969,70.15387513724257
74,08:28:00,3.44e-06,08:30:05,836671409.268395,898076112.865062,0.37049945210786717,70.34638780446646
74,08:29:00,3.2e-06,08:31:05,754767022.4567285,844420051.8758545,0.36391178546507763,70.56334563258893
74,08:30:00,2.95e-06,08:32:05,678066663.6539097,789216166.920539,0.35685197664791224,70.79565874178049
74,08:31:00,2.67e-06,08:33:05,602581612.8317181,728206021.032634,0.34886978953512104,71.06064254141995
74,08:32:00,2.41e-06,08:34:05,541991586.7320687,672308703.406158,0.34157624815559323,71.30812552564944
74,08:33:00,2.18e-06,08:35:05,495640698.329676,623447608.011323,0.33540552323949685,71.52514161828576
74,08:34:00,1.98e-06,08:36:05,460578973.6987294,581390241.8331071,0.3304147106442159,71.70980462754905
74,08:35:00,1.81e-06,08:37:05,434376881.96336246,545943005.558504,0.3265509030638343,71.86207158790008
74,08:36:00,1.66e-06,08:38:05,413897094.5100788,514885641.60890895,0.3235245071084852,71.99135067225431
74,08:37:00,1.53e-06,08:39:05,398039089.7510083,488127985.6566192,0.3212428369234765,72.09869652959213
74,08:38:00,1.43e-06,08:40:05,387055306.2106058,467640974.32731545,0.3197619770979943,72.17740213210125
74,08:39:00,1.34e-06,08:41:05,377997842.40833896,449271025.68889624,0.3186359644120077,72.24527531444707
74,08:40:00,1.27e-06,08:42:05,371500754.0559697,435026612.0436738,0.3179146832003988,72.29582958159736
74,08:41:00,1.21e-06,08:43:05,366306666.2756763,422846537.86571604,0.31741135894879907,72.33748617224202
74,08:42:00,1.18e-06,08:44:05,363829319.4443076,416766535.1261112,0.3171976214171638,72.35775956489037
74,08:43:00,1.15e-06,08:45:05,361446977.2513862,410693168.5993571,0.317016928776839,72.3775463874265
74,08:44:00,1.13e-06,08:46:05,359928560.9696483,406647932.67218816,0.31692290292967085,72.39034834636082
74,08:45:00,1.12e-06,08:47:05,359172070.8013447,404626416.0386026,0.3168758900060868,72.396749325828
74,08:46:00,1.11e-06,08:48:05,358417386.3240683,402605633.6611585,0.31682887708250274,72.40315030529516
74,08:47:00,1.11e-06,08:49:05,358417386.3240683,402605633.6611585,0.31682887708250274,72.40315030529516
