Height(km),Time(H:M),Electron Density(m^-3),Electron Density(m^-3) easyfit,Solar Flux(W*m^-2),Beta(km^-1),H'(km)
74,8:00,400091736.4647723,365958008.80196214,9.28e-07,0.3284099015372577,72.12452741570206
74,8:01,399594370.6100368,366560009.92967093,9.31e-07,0.32825387196196976,72.12742539727368
74,8:02,398767602.499169,367563508.42925245,9.36e-07,0.32799382266982324,72.13225536655969
74,8:03,398602574.41979086,367764232.5275348,9.37e-07,0.32794181281139395,72.1332213604169
74,8:04,397122187.3067395,369571113.11781174,9.46e-07,0.32747372408553027,72.14191530513173
74,8:05,397286243.19862413,369370316.3955339,9.45e-07,0.32752573394395956,72.14094931127453
74,8:06,397122187.3067395,369571113.11781174,9.46e-07,0.32747372408553027,72.14191530513173
74,8:07,397450406.8007178,369169527.7039653,9.44e-07,0.32757774380238885,72.13998331741732
74,8:08,397614678.19052577,368968747.05254924,9.43e-07,0.32762975366081815,72.13901732356011
74,8:09,396630665.11825675,370173551.3757878,9.49e-07,0.32731769451024234,72.14481328670334
74,8:10,397286243.19862413,369370316.3955339,9.45e-07,0.32752573394395956,72.14094931127453
74,8:11,397779057.4456151,368767974.45081854,9.42e-07,0.32768176351924744,72.13805132970292
74,8:12,397779057.4456151,368767974.45081854,9.42e-07,0.32768176351924744,72.13805132970292
74,8:13,397286243.19862413,369370316.3955339,9.45e-07,0.32752573394395956,72.14094931127453
74,8:14,395976805.45249736,370976914.25885034,9.53e-07,0.3271096550765252,72.14867726213215
74,8:15,395324659.2677653,371780404.4766526,9.57e-07,0.32690161564280795,72.15254123756097
74,8:16,392250213.99653983,375598705.7336945,9.76e-07,0.32591342833265124,72.17089512084783
74,8:17,390293754.6225394,378212848.98050827,9.89e-07,0.32527006210687714,72.18264990783368
74,8:18,389132255.85633,380023403.1807153,9.98e-07,0.3248729974272953,72.189602753659
74,8:19,383785483.57156193,388480786.77890223,1.04e-06,0.3230200289225802,72.22204936751051
74,8:20,368684823.96579605,463553253.21962315,1.41e-06,0.3150342756594682,72.30440022084423
74,8:21,504245645.7160255,674445435.8224415,2.42e-06,0.3366430660788079,71.48311035701077
74,8:22,730313313.688015,826678951.3135645,3.12e-06,0.36309115578140044,70.64628696051274
74,8:23,977043623.9620726,947836380.9738774,3.66e-06,0.3817086166352639,70.04734831492934
74,8:24,1118713721.1023078,1009665785.793618,3.93e-06,0.38968072826528266,69.78073888055133
74,8:25,1140389529.5951715,1018897345.1770153,3.97e-06,0.3907725842579542,69.74341919717655
74,8:26,1070450914.8491994,988962499.3711255,3.84e-06,0.3871342833898464,69.86689883109428
74,8:27,977043623.9620726,947836380.9738774,3.66e-06,0.3817086166352639,70.04734831492934
74,8:28,869806426.1215584,898076112.865062,3.44e-06,0.3745097942174164,70.28180460310543
74,8:29,763203926.320139,844420051.8758545,3.2e-06,0.36603561985793787,70.55291698133134
74,8:30,665180278.8641906,789216166.920539,2.95e-06,0.35670174062034954,70.84810059304189
74,8:31,572182004.4069042,728206021.032634,2.67e-06,0.3459908383170804,71.18580110445484
74,8:32,501808763.9262977,672308703.406158,2.41e-06,0.33627875721727,71.4947897080991
74,8:33,452094269.82733715,623447608.011323,2.18e-06,0.32838481332875985,71.75226930582171
74,8:34,418069123.08650786,581390241.8331071,1.98e-06,0.32248050418064034,71.9537470287222
74,8:35,395859889.85183775,545943005.558504,1.81e-06,0.31852995225346153,72.09973838996945
74,8:36,381309760.80896306,514885641.60890895,1.66e-06,0.316092428162377,72.20355718935889
74,8:37,372877659.988738,488127985.6566192,1.53e-06,0.31502528822987025,72.26845557582965
74,8:38,369162149.0100656,467640974.32731545,1.43e-06,0.31496933109342673,72.29994279556438
74,8:39,368074574.08929646,449271025.68889624,1.34e-06,0.31557021669419116,72.31252937945504
74,8:40,368896132.24126256,435026612.0436738,1.27e-06,0.3165223569017072,72.31056159830364
