Height(km),Time(H:M),Electron Density(m^-3),Electron Density(m^-3) easyfit,Solar Flux(W*m^-2),Beta(km^-1),H'(km)
74,8:41,370835667.8239168,422846537.86571604,1.21e-06,0.3176921969183474,72.30027639767108
74,8:42,372221510.3636368,416766535.1261112,1.18e-06,0.3183933792662111,72.29230418971615
74,8:43,374067797.2294859,410693168.5993571,1.15e-06,0.31922158441754095,72.28123476433568
74,8:44,375465931.6046688,406647932.67218816,1.13e-06,0.3198180163165594,72.27277509210799
74,8:45,376168380.7232741,404626416.0386026,1.12e-06,0.32011623226606856,72.26854525599414
74,8:46,376873094.8127577,402605633.6611585,1.11e-06,0.32041444821557774,72.2643154198803
74,8:47,376873094.8127577,402605633.6611585,1.11e-06,0.32041444821557774,72.2643154198803
74,8:48,376873094.8127577,402605633.6611585,1.11e-06,0.32041444821557774,72.2643154198803
74,8:49,376873094.8127577,402605633.6611585,1.11e-06,0.32041444821557774,72.2643154198803
74,8:50,376168380.7232741,404626416.0386026,1.12e-06,0.32011623226606856,72.26854525599414
74,8:51,375465931.6046688,406647932.67218816,1.13e-06,0.3198180163165594,72.27277509210799
74,8:52,375465931.6046688,406647932.67218816,1.13e-06,0.3198180163165594,72.27277509210799
74,8:53,374765739.68640006,408670183.47058755,1.14e-06,0.31951980036705013,72.27700492822183
74,8:54,374765739.68640006,408670183.47058755,1.14e-06,0.31951980036705013,72.27700492822183
74,8:55,375465931.6046688,406647932.67218816,1.13e-06,0.3198180163165594,72.27277509210799
74,8:56,374765739.68640006,408670183.47058755,1.14e-06,0.31951980036705013,72.27700492822183
74,8:57,373372096.5263847,412716888.4638976,1.16e-06,0.31892336846803176,72.28546460044952
74,8:58,370375788.03795874,424874686.1922065,1.22e-06,0.3174584694690595,72.30293380032272
74,8:59,369143982.07836694,432994728.96298534,1.26e-06,0.3166959800605783,72.30936702153308
74,9:00,368401390.13978297,439092640.6252714,1.29e-06,0.316175110583965,72.31295075184477
74,9:01,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,9:02,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,9:03,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,9:04,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,9:05,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,9:06,368182709.6141708,445197376.319695,1.32e-06,0.3158056219451798,72.31285709873801
74,9:07,368128644.9812068,447233816.64542997,1.33e-06,0.3156879193196855,72.31269323909652
74,9:08,368074574.08929646,449271025.68889624,1.34e-06,0.31557021669419116,72.31252937945504
74,9:09,368063712.78348356,453347761.1367524,1.36e-06,0.31536313708357017,72.31151489219303
74,9:10,368312238.41492325,457427605.5590004,1.38e-06,0.3152315925139294,72.30866902365351
74,9:11,368560655.90918416,461510582.52099615,1.4e-06,0.3151000479442886,72.30582315511398
74,9:12,368872460.2434161,465596716.1287342,1.42e-06,0.3149869763683469,72.30253028543481
74,9:13,370032378.30791616,473778551.7362378,1.46e-06,0.3149163952686662,72.29218032595308
74,9:14,372430441.2339423,486075602.06366605,1.52e-06,0.314998429484135,72.27211776547186
74,9:15,379090714.4603184,508697988.29109716,1.63e-06,0.31577536521855376,72.22023661357748
74,9:16,387473858.76864886,529354101.9783635,1.73e-06,0.3170839687866125,72.1586004102327
74,9:17,398148164.83780897,550099312.6193695,1.83e-06,0.3189317755512757,72.08406009973967
74,9:18,415140684.1265504,577205857.0338113,1.96e-06,0.3219591161765828,71.97226625168459
74,9:19,448276836.9379954,619224141.0239083,2.16e-06,0.32773910893312974,71.77371431713568
74,9:20,563278926.9834368,721719652.1657231,2.64e-06,0.34484740659722835,71.22194564405012
74,9:21,832955429.3716475,880118311.4790082,3.36e-06,0.3717473698288659,70.3706265360537
74,9:22,1065178945.9389693,986667914.8823674,3.83e-06,0.386846605362407,69.87658784892176
74,9:23,1200851908.9831655,1044379838.3382363,4.08e-06,0.3936654556024979,69.64346734412639
74,9:24,1284508312.8052158,1079355431.0480838,4.23e-06,0.39732595700781687,69.5141083498578
74,9:25,1363389201.7575295,1112236001.9875104,4.37e-06,0.40045672594044107,69.40035483420205
74,9:26,1436597907.3677506,1142973080.4033806,4.5e-06,0.40311187111426483,69.30090013842238
74,9:27,1503783829.8098755,1171521417.9520473,4.62e-06,0.4053565867535329,69.21416517662405
74,9:28,1564582512.2173746,1197839079.000339,4.73e-06,0.40723966010351764,69.13896999546557
74,9:29,1629948771.5917852,1226711290.5015304,4.85e-06,0.4091197239166325,69.06126531798007
74,9:30,1735793657.025021,1275207837.2618659,5.05e-06,0.4118664203012969,68.94144259140917
74,9:31,1801864075.3797145,1306983016.4565458,5.18e-06,0.41340243303005764,68.86987317737436
74,9:32,1756249906.5068572,1284963623.3417034,5.09e-06,0.41235473736527517,68.91902045795722
74,9:33,1656767535.6975605,1238791322.9441059,4.9e-06,0.4098491258699951,69.03023553910428
74,9:34,1531473398.9295924,1183466388.9429166,4.67e-06,0.4062303508610397,69.17954417376882
74,9:35,1391499478.5415118,1124034556.6834784,4.42e-06,0.4015023524817156,69.36150386298182
74,9:36,1256541518.3879976,1067667787.1571238,4.18e-06,0.39614408744481544,69.55629287452078
74,9:37,1129572746.1750367,1014279247.9020011,3.95e-06,0.39023210106841816,69.76194618607727
74,9:38,1023231740.8638271,968352785.4618332,3.75e-06,0.384479677662834,69.95569996006506
74,9:39,942029556.522201,931943502.8763419,3.59e-06,0.379483500679002,70.12034106207454
74,9:40,869806426.1215584,898076112.865062,3.44e-06,0.3745097942174164,70.28180460310543
74,9:41,810593375.0353066,868931546.5132346,3.31e-06,0.3699889945860296,70.42693035371208
74,9:42,759002019.0627509,842198489.0133891,3.19e-06,0.36566879518655343,70.56455689175559
74,9:43,718358927.1887044,820044504.0670745,3.09e-06,0.36197685907138777,70.68155790239335
74,9:44,683660209.7310284,800201323.064505,3e-06,0.35859651122524966,70.78833760644395
74,9:45,657934655.4527396,784829839.5250429,2.93e-06,0.3559395461241235,70.87212186601765
74,9:46,636773515.2759631,771697284.3536283,2.87e-06,0.35364890732232557,70.94430287856868
74,9:47,609837415.7746753,754248591.1016439,2.79e-06,0.3505840295911188,71.0408740634752
74,9:48,587469360.7765115,739038159.137407,2.72e-06,0.34790135819538165,71.12546681983109
74,9:49,569189664.5248654,726042824.2704612,2.66e-06,0.3456089971486319,71.19786342105286
74,9:50,557465415.643617,717400767.2152522,2.62e-06,0.34408865489756557,71.24597031034911
74,9:51,548894975.4513556,710930456.5713543,2.59e-06,0.34295052734807147,71.28200730979759
74,9:52,540554235.7907834,704469735.6204013,2.56e-06,0.34182230292025084,71.31783188890498
74,9:53,532389388.35578537,698018569.1235446,2.53e-06,0.3406952326156328,71.35363171225833
74,9:54,524457024.6896562,691576920.7336874,2.5e-06,0.33958076927305336,71.38915311553363
74,9:55,521852596.6798517,689431813.2926394,2.49e-06,0.3392100715284813,71.40097613563383
74,9:56,521852596.6798517,689431813.2926394,2.49e-06,0.3392100715284813,71.40097613563383
74,9:57,519265653.75321424,687287757.8460797,2.48e-06,0.3388393737839092,71.41279915573404
74,9:58,514155840.39309144,683002797.19417,2.46e-06,0.3381003015249594,71.4363929526574
74,9:59,509167967.2511103,678722027.1445575,2.44e-06,0.33737168380188365,71.45975165483408
74,10:00,506698673.35873604,676583209.8942955,2.43e-06,0.33700737494034577,71.47143100592243
74,10:01,501808763.9262977,672308703.406158,2.41e-06,0.33627875721727,71.4947897080991
74,10:02,494680504.9053161,665904740.6263913,2.38e-06,0.3352031807521905,71.52943270867708
74,10:03,490025632.5085341,661640611.7535566,2.36e-06,0.3344903213945632,71.55243260153247
74,10:04,504245645.7160255,674445435.8224415,2.42e-06,0.3366430660788079,71.48311035701077
74,10:05,548894975.4513556,710930456.5713543,2.59e-06,0.34295052734807147,71.28200730979759
74,10:06,590597436.7464802,741207825.6861523,2.73e-06,0.3482845268084204,71.11338156995002
74,10:07,665180278.8641906,789216166.920539,2.95e-06,0.35670174062034954,70.84810059304189
74,10:08,742487863.5932136,833323459.750351,3.15e-06,0.3642014965010157,70.61111653345256
74,10:09,842074647.2890795,884600948.7819169,3.38e-06,0.3724466666479355,70.34820581947675
74,10:10,967006521.2360102,943289822.9833367,3.64e-06,0.3810829750293891,70.06795568900543
74,10:11,1075754973.629626,991258239.1014588,3.85e-06,0.3874219614172858,69.85720981326679
74,10:12,1178736135.7590075,1035097221.7325664,4.04e-06,0.39263252526264764,69.67934934657482
74,10:13,1290162473.461323,1081696457.094357,4.24e-06,0.39756075434039045,69.50570994971862
74,10:14,1436597907.3677506,1142973080.4033806,4.5e-06,0.40311187111426483,69.30090013842238
74,10:15,1591934411.463416,1209848608.7769136,4.78e-06,0.40804376966979766,69.10607630864706
74,10:16,1704563925.6819844,1260609466.3982077,4.99e-06,0.4110936828380861,68.97609769760224
74,10:17,1740903113.957639,1277645018.1355767,5.06e-06,0.41198929212373325,68.93581694178604
74,10:18,1735793657.025021,1275207837.2618659,5.05e-06,0.4118664203012969,68.94144259140917
74,10:19,1678113550.093806,1248476513.543609,4.94e-06,0.41041389543244244,69.00588191038513
74,10:20,1570144925.2278953,1200238636.2052202,4.74e-06,0.4074062836535055,69.13224712655389
74,10:21,1425270875.2959208,1138231426.2132852,4.48e-06,0.4027147321878059,69.3159223724265
74,10:22,1284508312.8052158,1079355431.0480838,4.23e-06,0.39732595700781687,69.5141083498578
74,10:23,1151332952.0577083,1023520080.0178555,3.99e-06,0.3913130674474903,69.72489220827582
74,10:24,1038823431.6047342,975212308.8545523,3.78e-06,0.38537471373032783,69.92585116568247
74,10:25,922368741.2933443,922887066.1196467,3.55e-06,0.37818278357413104,70.16276824929652
74,10:26,806169450.495412,866697587.9398278,3.3e-06,0.3696331152055564,70.4382956846427
74,10:27,702705579.8051671,811214189.9402483,3.05e-06,0.360479344350981,70.72888912516746
74,10:28,619768731.666735,760783657.4177787,2.82e-06,0.3517343412756846,71.00462486557247
74,10:29,560362078.6373181,719559674.4078835,2.63e-06,0.34446803074739696,71.23395797719962
74,10:30,516696063.99252003,685144752.962144,2.47e-06,0.33846867603933717,71.42462217583424
74,10:31,480987610.9812083,653124727.0153611,2.32e-06,0.3330839196596975,71.5979884631912
74,10:32,455956838.40588087,627675075.209239,2.2e-06,0.32903051772438996,71.73082429450774
74,10:33,437442794.95269626,606577582.1594464,2.1e-06,0.3258845486800016,71.8361175745186
74,10:34,424201023.1090523,589770514.1596165,2.02e-06,0.32356886437610954,71.91562961395147
74,10:35,415140684.1265504,577205857.0338113,1.96e-06,0.3219591161765828,71.97226625168459
74,10:36,405556476.2714093,562590377.1640451,1.89e-06,0.3202487044223718,72.03437130088855
74,10:37,398148164.83780897,550099312.6193695,1.83e-06,0.3189317755512757,72.08406009973967
74,10:38,391507007.99491787,537641333.4300665,1.77e-06,0.31777210245120024,72.13000160861532
74,10:39,387473858.76864886,529354101.9783635,1.73e-06,0.3170839687866125,72.1586004102327
74,10:40,383888247.47218084,521081128.21994644,1.69e-06,0.31650435354997997,72.18460192932602
74,10:41,380568191.92011136,512822224.17728174,1.65e-06,0.3159867405144359,72.20911699743176
74,10:42,379090714.4603184,508697988.29109716,1.63e-06,0.31577536521855376,72.22023661357748
74,10:43,376902011.88152385,502518085.93155944,1.6e-06,0.3154621178173165,72.23682429177603
74,10:44,375708003.68148315,498402415.9260299,1.58e-06,0.3153262902646372,72.24612733672464
74,10:45,375112774.2893656,496345851.0423041,1.57e-06,0.3152583764882975,72.25077885919895
74,10:46,375708003.68148315,498402415.9260299,1.58e-06,0.3153262902646372,72.24612733672464
74,10:47,376304415.33520555,500459826.51302344,1.59e-06,0.31539420404097684,72.24147581425034
74,10:48,375112774.2893656,496345851.0423041,1.57e-06,0.3152583764882975,72.25077885919895
74,10:49,373925851.7979981,492235245.82386726,1.55e-06,0.3151225489356182,72.26008190414755
74,10:50,373334153.4687374,490181199.1882637,1.54e-06,0.31505463515927856,72.26473342662186
74,10:51,372877659.988738,488127985.6566192,1.53e-06,0.31502528822987025,72.26845557582965
74,10:52,371983832.0384823,484024045.2407387,1.51e-06,0.31497157073839965,72.27577995511407
74,10:53,371537831.4957768,481973312.01727563,1.5e-06,0.31494471199266433,72.27944214475629
74,10:54,371092438.7006945,479923399.22248673,1.49e-06,0.31491785324692906,72.28310433439849
74,10:55,370322842.7372269,475826022.2451926,1.47e-06,0.314898749993746,72.28959283608265
74,10:56,369742107.9431095,471731889.00715524,1.45e-06,0.31493404054358637,72.29476781582352
74,10:57,369162149.0100656,467640974.32731545,1.43e-06,0.31496933109342673,72.29994279556438
74,10:58,368684823.96579605,463553253.21962315,1.41e-06,0.3150342756594682,72.30440022084423
74,10:59,368684823.96579605,463553253.21962315,1.41e-06,0.3150342756594682,72.30440022084423
74,11:00,368560655.90918416,461510582.52099615,1.4e-06,0.3151000479442886,72.30582315511398
74,11:01,368436460.7070145,459468700.9771701,1.39e-06,0.315165820229109,72.30724608938375
74,11:02,368063712.78348356,453347761.1367524,1.36e-06,0.31536313708357017,72.31151489219303
74,11:03,368074574.08929646,449271025.68889624,1.34e-06,0.31557021669419116,72.31252937945504
74,11:04,368182709.6141708,445197376.319695,1.32e-06,0.3158056219451798,72.31285709873801
74,11:05,368290820.0829082,441126790.94866675,1.3e-06,0.31604102719616844,72.31318481802096
74,11:06,368401390.13978297,439092640.6252714,1.29e-06,0.316175110583965,72.31295075184477
74,11:07,368401390.13978297,439092640.6252714,1.29e-06,0.316175110583965,72.31295075184477
74,11:08,368648601.73492014,437059248.47497225,1.28e-06,0.3163487337428361,72.31175617507421
74,11:09,368648601.73492014,437059248.47497225,1.28e-06,0.3163487337428361,72.31175617507421
74,11:10,368896132.24126256,435026612.0436738,1.27e-06,0.3165223569017072,72.31056159830364
74,11:11,368896132.24126256,435026612.0436738,1.27e-06,0.3165223569017072,72.31056159830364
74,11:12,368648601.73492014,437059248.47497225,1.28e-06,0.3163487337428361,72.31175617507421
74,11:13,368896132.24126256,435026612.0436738,1.27e-06,0.3165223569017072,72.31056159830364
74,11:14,369143982.07836694,432994728.96298534,1.26e-06,0.3166959800605783,72.30936702153308
74,11:15,368896132.24126256,435026612.0436738,1.27e-06,0.3165223569017072,72.31056159830364
74,11:16,369143982.07836694,432994728.96298534,1.26e-06,0.3166959800605783,72.30936702153308
74,11:17,369916938.0733625,426903577.57991415,1.23e-06,0.3172247420197716,72.30559120297437
74,11:18,370375788.03795874,424874686.1922065,1.22e-06,0.3174584694690595,72.30293380032272
74,11:19,370375788.03795874,424874686.1922065,1.22e-06,0.3174584694690595,72.30293380032272
74,11:20,370835667.8239168,422846537.86571604,1.21e-06,0.3176921969183474,72.30027639767108
74,11:21,371296579.8531749,420819130.9134294,1.2e-06,0.3179259243676353,72.29761899501943
74,11:22,369916938.0733625,426903577.57991415,1.23e-06,0.3172247420197716,72.30559120297437
74,11:23,369143982.07836694,432994728.96298534,1.26e-06,0.3166959800605783,72.30936702153308
74,11:24,368648601.73492014,437059248.47497225,1.28e-06,0.3163487337428361,72.31175617507421
74,11:25,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,11:26,368128644.9812068,447233816.64542997,1.33e-06,0.3156879193196855,72.31269323909652
74,11:27,368128644.9812068,447233816.64542997,1.33e-06,0.3156879193196855,72.31269323909652
74,11:28,368182709.6141708,445197376.319695,1.32e-06,0.3158056219451798,72.31285709873801
74,11:29,368182709.6141708,445197376.319695,1.32e-06,0.3158056219451798,72.31285709873801
74,11:30,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,11:31,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,11:32,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,11:33,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,11:34,368236767.9831021,443161701.9782396,1.31e-06,0.3159233245706741,72.31302095837948
74,11:35,368182709.6141708,445197376.319695,1.32e-06,0.3158056219451798,72.31285709873801
74,11:36,368128644.9812068,447233816.64542997,1.33e-06,0.3156879193196855,72.31269323909652
74,11:37,368312238.41492325,457427605.5590004,1.38e-06,0.3152315925139294,72.30866902365351
74,11:38,371092438.7006945,479923399.22248673,1.49e-06,0.31491785324692906,72.28310433439849
74,11:39,738425467.1418443,831107504.4667329,3.14e-06,0.3638340202547422,70.62277299925898
74,11:40,75258247992.42088,65959557364.1584,9.26e-05,0.49064890025611224,62.07108161010441
74,11:41,111716431009.84238,310631320209.9142,0.000213,0.4984207463408122,61.4645086017381
74,11:42,111716431009.84238,337128240877.40594,0.000222,0.4984207463408122,61.4645086017381
74,11:43,111716431009.84238,182886706644.196,0.000162,0.4984207463408122,61.4645086017381
74,11:44,81470333957.55145,67840970750.44755,9.41e-05,0.4922242744624703,61.94812762192205
74,11:45,12776327838.212755,29068711147.963154,5.69e-05,0.4531549941447895,64.99738652884456
74,11:46,4987641742.402835,14203773411.651081,3.59e-05,0.43109975525577604,66.7187423633976
74,11:47,3039636175.457332,8003661976.046744,2.41e-05,0.4187068114990924,67.6859804037655
74,11:48,2542852429.231927,4940304470.613752,1.68e-05,0.41627521516476507,68.0777842434256
74,11:49,2498472596.109435,3316630139.784231,1.22e-05,0.41896970325331834,68.15789555103713
74,11:50,2469761691.6263304,2399369654.5829253,9.24e-06,0.4207035477624743,68.20944543593498
74,11:51,2449814366.731498,1823618466.323863,7.19e-06,0.4219043522367209,68.24514721432708
74,11:52,2074083618.314846,1456218147.9385717,5.78e-06,0.41838744641816855,68.5947120796272
74,11:53,1646104958.5309918,1233955783.0524776,4.88e-06,0.4095624156148535,69.04252106057999
74,11:54,1312592776.3364115,1091072226.116786,4.28e-06,0.39847388533631933,69.47275329737768
74,11:55,1097176976.4364264,1000452757.2047666,3.89e-06,0.38856470264242704,69.81864830068645
74,11:56,967006521.2360102,943289822.9833367,3.64e-06,0.3810829750293891,70.06795568900543
74,11:57,865115208.0037186,895827410.2059982,3.43e-06,0.3741668154316899,70.29284978231911
74,11:58,788750906.163001,857773048.0972563,3.26e-06,0.3682069293225966,70.48382372959117
74,11:59,738425467.1418443,831107504.4667329,3.14e-06,0.3638340202547422,70.62277299925898
74,12:00,706586214.1210567,813420097.695775,3.06e-06,0.3608547318134099,70.71703035902738
74,12:01,679914123.5087949,798002078.3441954,2.99e-06,0.35821788106534785,70.80028143040089
74,12:02,657934655.4527396,784829839.5250429,2.93e-06,0.3559395461241235,70.87212186601765
74,12:03,636773515.2759631,771697284.3536283,2.87e-06,0.35364890732232557,70.94430287856868
74,12:04,619768731.666735,760783657.4177787,2.82e-06,0.3517343412756846,71.00462486557247
74,12:05,600115302.0046886,747723323.4062445,2.76e-06,0.3494340326475367,71.07712582030686
74,12:06,584363333.9917881,736869573.7483633,2.71e-06,0.34751820299087416,71.13755183806282
74,12:07,572182004.4069042,728206021.032634,2.67e-06,0.3459908383170804,71.18580110445484
74,12:08,557465415.643617,717400767.2152522,2.62e-06,0.34408865489756557,71.24597031034911
74,12:09,540554235.7907834,704469735.6204013,2.56e-06,0.34182230292025084,71.31783188890498
74,12:10,529718869.2315806,695870297.2536255,2.52e-06,0.34032216476219745,71.36550707533323
74,12:11,521852596.6798517,689431813.2926394,2.49e-06,0.3392100715284813,71.40097613563383
74,12:12,514155840.39309144,683002797.19417,2.46e-06,0.3381003015249594,71.4363929526574
74,12:13,504245645.7160255,674445435.8224415,2.42e-06,0.3366430660788079,71.48311035701077
74,12:14,494680504.9053161,665904740.6263913,2.38e-06,0.3352031807521905,71.52943270867708
74,12:15,487720645.1419127,659510096.4029515,2.35e-06,0.3341338917157496,71.56393254796018
74,12:16,480987610.9812083,653124727.0153611,2.32e-06,0.3330839196596975,71.5979884631912
74,12:17,474424543.81843936,646748587.3881481,2.29e-06,0.3320430323221452,71.6318356022591
74,12:18,470163565.03063947,642502932.3927785,2.27e-06,0.3313589121848086,71.654173402156
74,12:19,472264210.8766779,644625250.5796487,2.28e-06,0.3316960698762944,71.64311798194841
74,12:20,480987610.9812083,653124727.0153611,2.32e-06,0.3330839196596975,71.5979884631912
74,12:21,506698673.35873604,676583209.8942955,2.43e-06,0.33700737494034577,71.47143100592243
74,12:22,532389388.35578537,698018569.1235446,2.53e-06,0.3406952326156328,71.35363171225833
74,12:23,554588780.9924598,715242929.3485627,2.61e-06,0.3437092790477342,71.25798264349861
74,12:24,554588780.9924598,715242929.3485627,2.61e-06,0.3437092790477342,71.25798264349861
74,12:25,557465415.643617,717400767.2152522,2.62e-06,0.34408865489756557,71.24597031034911
74,12:26,557465415.643617,717400767.2152522,2.62e-06,0.34408865489756557,71.24597031034911
74,12:27,551732019.0311248,713086159.5556557,2.6e-06,0.3433299031979028,71.26999497664809
74,12:28,548894975.4513556,710930456.5713543,2.59e-06,0.34295052734807147,71.28200730979759
74,12:29,548894975.4513556,710930456.5713543,2.59e-06,0.34295052734807147,71.28200730979759
74,12:30,546091396.9212313,708775819.1173427,2.58e-06,0.34257368312332953,71.29396534000274
74,12:31,543313326.6625308,706622245.902029,2.57e-06,0.34219799302179016,71.30589861445387
74,12:32,543313326.6625308,706622245.902029,2.57e-06,0.34219799302179016,71.30589861445387
74,12:33,551732019.0311248,713086159.5556557,2.6e-06,0.3433299031979028,71.26999497664809
74,12:34,560362078.6373181,719559674.4078835,2.63e-06,0.34446803074739696,71.23395797719962
74,12:35,587469360.7765115,739038159.137407,2.72e-06,0.34790135819538165,71.12546681983109
74,12:36,623126529.7615513,762964195.1517674,2.83e-06,0.3521177785038732,70.99254179960488
74,12:37,679914123.5087949,798002078.3441954,2.99e-06,0.35821788106534785,70.80028143040089
74,12:38,832955429.3716475,880118311.4790082,3.36e-06,0.3717473698288659,70.3706265360537
74,12:39,1162319936.4682646,1028147454.7699398,4.01e-06,0.3918482886725255,69.7064935958428
74,12:40,1796864049.4277806,1304531706.9380953,5.17e-06,0.41329081352259334,68.87521119462355
74,12:41,2454586703.2278876,1956769187.26514,7.68e-06,0.42161733067946194,68.23661361851629
74,12:42,2505245514.550131,3548239542.048687,1.29e-05,0.41855967245723413,68.14570469987885
74,12:43,2767661366.1322246,6974545511.168826,2.18e-05,0.41629123771600995,67.87450985231177
74,12:44,4558876697.560766,12987735685.310005,3.38e-05,0.4288942313668747,66.8908779468529
74,12:45,9558513068.250044,24089467183.214165,5.06e-05,0.44653842247808545,65.51379327921047
74,12:46,25072370008.738335,41855864996.47132,7.1e-05,0.46796351168455563,63.841619039930386
74,12:47,87294777292.5872,69493665717.85207,9.54e-05,0.4935895987746473,61.84156749883067
74,12:48,111716431009.84238,101562884616.01894,0.000118,0.4984207463408122,61.4645086017381
74,12:49,111716431009.84238,129953212475.95665,0.000135,0.4984207463408122,61.4645086017381
74,12:50,111716431009.84238,150337263491.71722,0.000146,0.4984207463408122,61.4645086017381
74,12:51,111716431009.84238,164150243461.80768,0.000153,0.4984207463408122,61.4645086017381
74,12:52,111716431009.84238,168218424132.65646,0.000155,0.4984207463408122,61.4645086017381
74,12:53,111716431009.84238,164150243461.80768,0.000153,0.4984207463408122,61.4645086017381
74,12:54,111716431009.84238,154216542967.4229,0.000148,0.4984207463408122,61.4645086017381
74,12:55,111716431009.84238,140872900936.8678,0.000141,0.4984207463408122,61.4645086017381
74,12:56,111716431009.84238,126418564026.85292,0.000133,0.4984207463408122,61.4645086017381
74,12:57,111716431009.84238,112801142355.12474,0.000125,0.4984207463408122,61.4645086017381
74,12:58,111716431009.84238,98466802198.23146,0.000116,0.4984207463408122,61.4645086017381
74,12:59,111716431009.84238,83743094042.77039,0.000106,0.4984207463408122,61.4645086017381
74,13:00,99239401654.70573,72598975241.43787,9.78e-05,0.4961101975048203,61.6448411177389
